,Unnamed: 0,Channel Title,Channel Username,ID,Message,Date,Media Path
0,0,Shewa Brand,@Shewabrand,3419,"ALLSTAR TAYLOR 
Size 36#37#38#39
MADE IN VIETNAM
SHEWA BRAND
አድራሻ ድሬዳዋ አሸዋ ሚና ህንፃ 1ኛ ፎቅ ላይ እንገኛለን 
የቴሌግራም ቻናላችንን ይቀላቀሉ

https://t.me//shewabrand
https://t.me//shewabrand
https://t.me//shewabrand
https://t.me//shewabrand
የቤት ቁጥር 109 እና 110
በ inbox  @shewat2 አዋሩን

 0987336458
0948595409 ይደውሉልን",2025-01-21 05:35:40+00:00,photos\@Shewabrand_3419.jpg
1,1,Shewa Brand,@Shewabrand,3418,"adidas CAMPUS
Size 36#37#38#39
MADE IN VIETNAM
SHEWA BRAND
አድራሻ ድሬዳዋ አሸዋ ሚና ህንፃ 1ኛ ፎቅ ላይ እንገኛለን 
የቴሌግራም ቻናላችንን ይቀላቀሉ

https://t.me//shewabrand
https://t.me//shewabrand
https://t.me//shewabrand
https://t.me//shewabrand
የቤት ቁጥር 109 እና 110
በ inbox  @shewat2 አዋሩን

 0987336458
0948595409 ይደውሉልን",2025-01-16 10:34:04+00:00,photos\@Shewabrand_3418.jpg
2,2,Shewa Brand,@Shewabrand,3417,"adidas CAMPUS
Size 40#41#42#43
MADE IN VIETNAM
SHEWA BRAND
አድራሻ ድሬዳዋ አሸዋ ሚና ህንፃ 1ኛ ፎቅ ላይ እንገኛለን 
የቴሌግራም ቻናላችንን ይቀላቀሉ

https://t.me//shewabrand
https://t.me//shewabrand
https://t.me//shewabrand
https://t.me//shewabrand
የቤት ቁጥር 109 እና 110
በ inbox  @shewat2 አዋሩን

 0987336458
0948595409 ይደውሉልን",2025-01-15 09:51:55+00:00,photos\@Shewabrand_3417.jpg
3,3,Shewa Brand,@Shewabrand,3416,"NIKE ZOOM 2024
Size 40#41#42#43
MADE IN VIETNAM
SHEWA BRAND
አድራሻ ድሬዳዋ አሸዋ ሚና ህንፃ 1ኛ ፎቅ ላይ እንገኛለን 
የቴሌግራም ቻናላችንን ይቀላቀሉ

https://t.me//shewabrand
https://t.me//shewabrand
https://t.me//shewabrand
https://t.me//shewabrand
የቤት ቁጥር 109 እና 110
በ inbox  @shewat2 አዋሩን

 0987336458
0948595409 ይደውሉልን",2025-01-14 13:56:55+00:00,photos\@Shewabrand_3416.jpg
4,4,Shewa Brand,@Shewabrand,3415,"NIKE VOMERO
Size 40#41#42#43#44
MADE IN VIETNAM
SHEWA BRAND
አድራሻ ድሬዳዋ አሸዋ ሚና ህንፃ 1ኛ ፎቅ ላይ እንገኛለን 
የቴሌግራም ቻናላችንን ይቀላቀሉ

https://t.me//shewabrand
https://t.me//shewabrand
https://t.me//shewabrand
https://t.me//shewabrand
የቤት ቁጥር 109 እና 110
በ inbox  @shewat2 አዋሩን

 0987336458
0948595409 ይደውሉልን",2025-01-13 11:03:41+00:00,photos\@Shewabrand_3415.jpg
5,5,Shewa Brand,@Shewabrand,3414,"SKECHERS GO RUN
Size 36#37#38#39#40
MADE IN VIETNAM
SHEWA BRAND
አድራሻ ድሬዳዋ አሸዋ ሚና ህንፃ 1ኛ ፎቅ ላይ እንገኛለን 
የቴሌግራም ቻናላችንን ይቀላቀሉ

https://t.me//shewabrand
https://t.me//shewabrand
https://t.me//shewabrand
https://t.me//shewabrand
የቤት ቁጥር 109 እና 110
በ inbox  @shewat2 አዋሩን

 0987336458
0948595409 ይደውሉልን",2025-01-11 08:09:00+00:00,photos\@Shewabrand_3414.jpg
6,6,Shewa Brand,@Shewabrand,3412,"Lv Trainer 54
Size 40#41#42#43#44
MADE IN ITALY
SHEWA BRAND
አድራሻ ድሬዳዋ አሸዋ ሚና ህንፃ 1ኛ ፎቅ ላይ እንገኛለን 
የቴሌግራም ቻናላችንን ይቀላቀሉ

https://t.me//shewabrand
https://t.me//shewabrand
https://t.me//shewabrand
https://t.me//shewabrand
የቤት ቁጥር 109 እና 110
በ inbox  @shewat2 አዋሩን

 0987336458
0948595409 ይደውሉልን",2025-01-09 10:31:45+00:00,photos\@Shewabrand_3412.jpg
7,7,Shewa Brand,@Shewabrand,3410,"SKECHERS OUTDOOR 
Size 36#37#38#39
MADE IN VIETNAM
SHEWA BRAND
አድራሻ ድሬዳዋ አሸዋ ሚና ህንፃ 1ኛ ፎቅ ላይ እንገኛለን 
የቴሌግራም ቻናላችንን ይቀላቀሉ

https://t.me//shewabrand
https://t.me//shewabrand
https://t.me//shewabrand
https://t.me//shewabrand
የቤት ቁጥር 109 እና 110
በ inbox  @shewat2 አዋሩን

 0987336458
0948595409 ይደውሉልን",2025-01-08 12:15:59+00:00,photos\@Shewabrand_3410.jpg
8,8,Shewa Brand,@Shewabrand,3409,""" ከዕለት ከሰዓት አስቀድሞ የነበረ ቀዳማዊ ሲሆን የአለም መድሀኒት እነሆ ዛሬ ተወለደ እንኳን ለጌታችን ለመድሃኒታችን ለእየሱስ ክርስቶስ የልደት በአል በሰላም በፍቅር አደረሳችሁ አደረሰን በአሉ የሰላም የፍቅር የመተሳሰብ እንዲሆንላችሁ ይመኛል shewa brand መልካም በአል",2025-01-07 07:02:47+00:00,photos\@Shewabrand_3409.jpg
9,9,Shewa Brand,@Shewabrand,3408,"ALLSTAR CONVERSE lezear 
Size 40#41#42#43
MADE IN VIETNAM
SHEWA BRAND
አድራሻ ድሬዳዋ አሸዋ ሚና ህንፃ 1ኛ ፎቅ ላይ እንገኛለን 
የቴሌግራም ቻናላችንን ይቀላቀሉ

https://t.me//shewabrand
https://t.me//shewabrand
https://t.me//shewabrand
https://t.me//shewabrand
የቤት ቁጥር 109 እና 110
በ inbox  @shewat2 አዋሩን

 0987336458
0948595409 ይደውሉልን",2025-01-04 15:14:50+00:00,photos\@Shewabrand_3408.jpg
